epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,5534.85,2.30304,1.33152,0.96554,0.61715,0.28378,0.27633,0.11445,2.07887,1.25888,0.95277,0.00991486,0.00991486,0.00991486
88,5597.8,2.30299,1.33878,0.96412,0.61599,0.28289,0.27419,0.1149,2.07696,1.25721,0.95256,0.00991387,0.00991387,0.00991387
89,5660.77,2.29474,1.33136,0.9645,0.62345,0.28206,0.27461,0.11486,2.07572,1.25537,0.95248,0.00991288,0.00991288,0.00991288
90,5725.02,2.29148,1.31774,0.95796,0.62057,0.28312,0.27515,0.11478,2.07541,1.25406,0.95251,0.00991189,0.00991189,0.00991189
91,5788.35,2.30492,1.32801,0.96216,0.62698,0.28289,0.27889,0.11533,2.07469,1.2533,0.95254,0.0099109,0.0099109,0.0099109
92,5852.44,2.28767,1.31357,0.96294,0.62485,0.28192,0.27744,0.11561,2.07359,1.25199,0.95251,0.00990991,0.00990991,0.00990991
93,5915.61,2.29194,1.31684,0.96661,0.6277,0.28115,0.27776,0.11576,2.07312,1.25089,0.95258,0.00990892,0.00990892,0.00990892
94,5979.17,2.29426,1.32992,0.96273,0.63167,0.28247,0.27785,0.11593,2.07273,1.24943,0.95246,0.00990793,0.00990793,0.00990793
95,6042.06,2.28936,1.33745,0.96218,0.63257,0.28243,0.27711,0.11575,2.07249,1.24943,0.95231,0.00990694,0.00990694,0.00990694
96,6105.85,2.29907,1.3371,0.96098,0.63086,0.28267,0.2775,0.11593,2.07198,1.24876,0.95218,0.00990595,0.00990595,0.00990595
97,6168.91,2.2815,1.30635,0.95866,0.63088,0.28414,0.27835,0.11631,2.07131,1.24773,0.9521,0.00990496,0.00990496,0.00990496
98,6233.04,2.28757,1.30926,0.9569,0.63717,0.28387,0.27915,0.11652,2.07118,1.24676,0.95201,0.00990397,0.00990397,0.00990397
99,6295.83,2.27942,1.32178,0.96189,0.6406,0.2835,0.28083,0.11682,2.07028,1.2467,0.95185,0.00990298,0.00990298,0.00990298
100,6359.46,2.27956,1.3157,0.96265,0.63988,0.28246,0.2817,0.11732,2.06935,1.24572,0.95165,0.00990199,0.00990199,0.00990199
101,6422.91,2.29032,1.31123,0.9572,0.64496,0.28437,0.28285,0.11774,2.06795,1.24463,0.95155,0.009901,0.009901,0.009901
102,6486.32,2.29644,1.30508,0.96076,0.64175,0.28393,0.28226,0.11757,2.06737,1.24366,0.95143,0.00990001,0.00990001,0.00990001
103,6549.82,2.28485,1.31266,0.96176,0.6395,0.28381,0.28298,0.11799,2.06655,1.24242,0.95124,0.00989902,0.00989902,0.00989902
104,6612.98,2.28936,1.31876,0.96003,0.63919,0.28411,0.28362,0.11834,2.06528,1.24153,0.95119,0.00989803,0.00989803,0.00989803
105,6676.52,2.29211,1.31305,0.96053,0.64505,0.28311,0.28378,0.11877,2.06462,1.24103,0.95105,0.00989704,0.00989704,0.00989704
106,6739.61,2.28092,1.31456,0.95822,0.65085,0.28127,0.28356,0.11876,2.06447,1.24071,0.95089,0.00989605,0.00989605,0.00989605
107,6802.59,2.28067,1.3091,0.95987,0.65495,0.28222,0.28385,0.11872,2.06354,1.24036,0.95081,0.00989506,0.00989506,0.00989506
108,6864.73,2.28712,1.29923,0.95664,0.65409,0.28214,0.28387,0.11893,2.06277,1.23937,0.95086,0.00989407,0.00989407,0.00989407
109,6927.59,2.29183,1.31091,0.95907,0.65519,0.28208,0.28407,0.11915,2.0625,1.23914,0.9508,0.00989308,0.00989308,0.00989308
110,6990.14,2.27065,1.3023,0.95735,0.65398,0.28319,0.28442,0.11933,2.06275,1.23951,0.95072,0.00989209,0.00989209,0.00989209
111,7053.72,2.27565,1.28967,0.95805,0.65493,0.28327,0.2846,0.11953,2.06191,1.23906,0.95064,0.0098911,0.0098911,0.0098911
112,7116.25,2.27962,1.31136,0.95695,0.65499,0.28393,0.28531,0.11939,2.06112,1.23817,0.95052,0.00989011,0.00989011,0.00989011
113,7179,2.26832,1.29231,0.95831,0.6549,0.28534,0.28528,0.11926,2.06074,1.23777,0.95039,0.00988912,0.00988912,0.00988912
114,7240.89,2.26835,1.29624,0.95821,0.65466,0.28418,0.28543,0.11958,2.06081,1.23794,0.95035,0.00988813,0.00988813,0.00988813
115,7302.92,2.27606,1.30524,0.9585,0.65019,0.28527,0.28553,0.11972,2.06034,1.23766,0.9502,0.00988714,0.00988714,0.00988714
116,7365.93,2.27824,1.29081,0.9562,0.64511,0.28539,0.28399,0.11953,2.05923,1.23736,0.95004,0.00988615,0.00988615,0.00988615
117,7428.86,2.26945,1.29668,0.96,0.64427,0.28487,0.28417,0.11962,2.05913,1.23713,0.95001,0.00988516,0.00988516,0.00988516
118,7491.05,2.27118,1.30179,0.96181,0.64772,0.28605,0.28506,0.11997,2.05788,1.23621,0.94995,0.00988417,0.00988417,0.00988417
119,7553.25,2.27276,1.31283,0.95678,0.6548,0.28458,0.28536,0.12045,2.05778,1.23539,0.94991,0.00988318,0.00988318,0.00988318
120,7615.78,2.27574,1.31347,0.96047,0.65177,0.28553,0.28561,0.12047,2.05689,1.23512,0.94986,0.00988219,0.00988219,0.00988219
121,7678.34,2.25871,1.2892,0.95767,0.65237,0.28519,0.28565,0.12051,2.05678,1.23449,0.94981,0.0098812,0.0098812,0.0098812
122,7740.47,2.26806,1.30169,0.95724,0.65585,0.28464,0.28601,0.12062,2.05667,1.23412,0.94981,0.00988021,0.00988021,0.00988021
123,7803.62,2.26749,1.3126,0.96019,0.65798,0.28543,0.28603,0.12068,2.05563,1.23328,0.94965,0.00987922,0.00987922,0.00987922
124,7866.87,2.26817,1.28948,0.95813,0.6543,0.28547,0.28596,0.12055,2.05516,1.23275,0.94948,0.00987823,0.00987823,0.00987823
125,7929.55,2.28188,1.29568,0.95566,0.65954,0.28481,0.28643,0.12107,2.05462,1.2322,0.9496,0.00987724,0.00987724,0.00987724
126,7992.53,2.2705,1.29508,0.95772,0.6585,0.2844,0.28629,0.121,2.05365,1.23079,0.94944,0.00987625,0.00987625,0.00987625
127,8056.17,2.27292,1.29405,0.95826,0.65692,0.2843,0.28646,0.1212,2.05301,1.23009,0.94943,0.00987526,0.00987526,0.00987526
128,8118.7,2.27513,1.29679,0.95806,0.66026,0.28391,0.28692,0.12139,2.05216,1.22935,0.9493,0.00987427,0.00987427,0.00987427
129,8181.8,2.26587,1.28265,0.95516,0.65809,0.28312,0.28789,0.12185,2.05181,1.22852,0.94917,0.00987328,0.00987328,0.00987328
130,8245.03,2.25534,1.27932,0.95656,0.65857,0.28376,0.28857,0.12201,2.05168,1.2283,0.94899,0.00987229,0.00987229,0.00987229
131,8307.95,2.26767,1.29289,0.95489,0.6604,0.28361,0.28752,0.12202,2.05151,1.22793,0.94893,0.0098713,0.0098713,0.0098713
132,8371.33,2.25833,1.2844,0.95443,0.65871,0.28382,0.28808,0.12213,2.05099,1.2277,0.94887,0.00987031,0.00987031,0.00987031
133,8433.99,2.25522,1.28907,0.95716,0.66257,0.2841,0.28866,0.12262,2.0501,1.22691,0.94869,0.00986932,0.00986932,0.00986932
134,8496.48,2.2583,1.29208,0.95757,0.66551,0.28368,0.2889,0.12276,2.0494,1.22634,0.94853,0.00986833,0.00986833,0.00986833
135,8559.29,2.26711,1.28161,0.95939,0.66239,0.28339,0.28941,0.12285,2.0495,1.22599,0.94849,0.00986734,0.00986734,0.00986734
136,8621.89,2.25798,1.27427,0.95255,0.66349,0.28413,0.28957,0.12301,2.0494,1.22591,0.94844,0.00986635,0.00986635,0.00986635
137,8684.63,2.26162,1.28282,0.95656,0.66355,0.2851,0.2897,0.12309,2.04886,1.22549,0.94831,0.00986536,0.00986536,0.00986536
