epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,9306.17,2.3106,1.36884,0.96191,0.62458,0.28001,0.27352,0.11457,2.07697,1.2954,0.9513,0.009901,0.009901,0.009901
102,9398.18,2.32495,1.38753,0.9677,0.6262,0.28053,0.2735,0.11457,2.07562,1.29416,0.95104,0.00990001,0.00990001,0.00990001
103,9489.24,2.30968,1.3898,0.96347,0.62871,0.27971,0.27369,0.11455,2.07555,1.29325,0.95088,0.00989902,0.00989902,0.00989902
104,9581.79,2.31936,1.38164,0.96367,0.62093,0.28166,0.27366,0.11471,2.07601,1.29338,0.95084,0.00989803,0.00989803,0.00989803
105,9673.85,2.32022,1.38338,0.9635,0.62553,0.28096,0.27321,0.11477,2.07522,1.29248,0.95069,0.00989704,0.00989704,0.00989704
106,9766.86,2.31912,1.37802,0.96237,0.62434,0.2812,0.27328,0.11512,2.07465,1.29185,0.95053,0.00989605,0.00989605,0.00989605
107,9858.9,2.30556,1.37815,0.96613,0.62569,0.2808,0.27353,0.11484,2.0747,1.29141,0.95049,0.00989506,0.00989506,0.00989506
108,9950.85,2.31797,1.37717,0.96103,0.62544,0.28057,0.27377,0.11497,2.07545,1.29116,0.95045,0.00989407,0.00989407,0.00989407
109,10043,2.30136,1.3632,0.96202,0.62721,0.28035,0.274,0.11523,2.07481,1.29015,0.95018,0.00989308,0.00989308,0.00989308
110,10135.4,2.32205,1.38163,0.96498,0.63029,0.27586,0.27313,0.1152,2.07353,1.28991,0.95012,0.00989209,0.00989209,0.00989209
111,10228.5,2.31172,1.36284,0.96202,0.63044,0.2759,0.27415,0.1155,2.0734,1.28918,0.95006,0.0098911,0.0098911,0.0098911
112,10320.5,2.31613,1.37993,0.96512,0.6292,0.27601,0.2741,0.1155,2.07342,1.28837,0.95003,0.00989011,0.00989011,0.00989011
113,10412.8,2.31603,1.37472,0.96552,0.63549,0.27738,0.2761,0.11593,2.07226,1.28769,0.9499,0.00988912,0.00988912,0.00988912
114,10504.7,2.30798,1.37378,0.96099,0.62675,0.27691,0.27452,0.11575,2.07266,1.28693,0.9499,0.00988813,0.00988813,0.00988813
115,10596.3,2.31493,1.37001,0.96222,0.62802,0.28142,0.27657,0.11604,2.07282,1.28618,0.94988,0.00988714,0.00988714,0.00988714
116,10688.1,2.30861,1.36202,0.96427,0.63401,0.28197,0.2774,0.11635,2.0729,1.28535,0.94989,0.00988615,0.00988615,0.00988615
117,10780.5,2.28573,1.35654,0.96359,0.63433,0.28256,0.27766,0.11621,2.07258,1.28535,0.94973,0.00988516,0.00988516,0.00988516
118,10872.3,2.29978,1.35677,0.96102,0.6357,0.2831,0.27804,0.11671,2.07167,1.28483,0.94965,0.00988417,0.00988417,0.00988417
119,10964.4,2.30885,1.35838,0.96122,0.63497,0.28215,0.27826,0.11655,2.07204,1.28425,0.94958,0.00988318,0.00988318,0.00988318
120,11056.9,2.30022,1.36839,0.96219,0.63455,0.28255,0.27869,0.11665,2.07212,1.28378,0.94961,0.00988219,0.00988219,0.00988219
121,11149.5,2.29787,1.36256,0.96122,0.63537,0.28291,0.27917,0.11674,2.07154,1.28294,0.94948,0.0098812,0.0098812,0.0098812
122,11241.5,2.29091,1.35817,0.96448,0.63555,0.28295,0.27941,0.11695,2.0708,1.28212,0.94938,0.00988021,0.00988021,0.00988021
123,11334.3,2.30522,1.3635,0.96309,0.64223,0.28302,0.28077,0.11703,2.07078,1.28209,0.94942,0.00987922,0.00987922,0.00987922
124,11426.4,2.29383,1.35932,0.9664,0.64041,0.28172,0.27976,0.11709,2.07003,1.28233,0.9493,0.00987823,0.00987823,0.00987823
125,11518.1,2.29566,1.35217,0.96255,0.63861,0.28088,0.27899,0.11713,2.06951,1.28172,0.94929,0.00987724,0.00987724,0.00987724
126,11609.9,2.30104,1.36524,0.9635,0.64018,0.28147,0.28039,0.11763,2.06916,1.28087,0.9493,0.00987625,0.00987625,0.00987625
127,11702.5,2.30178,1.35905,0.96166,0.64054,0.28154,0.28086,0.11765,2.06869,1.28032,0.94918,0.00987526,0.00987526,0.00987526
128,11794.2,2.28959,1.34805,0.96185,0.64026,0.27995,0.28018,0.11809,2.06812,1.2796,0.94915,0.00987427,0.00987427,0.00987427
129,11886,2.29281,1.35706,0.95907,0.6449,0.28012,0.28184,0.11811,2.06745,1.27954,0.94902,0.00987328,0.00987328,0.00987328
130,11978.4,2.29798,1.3464,0.95948,0.6464,0.27996,0.28207,0.11827,2.06738,1.27937,0.94896,0.00987229,0.00987229,0.00987229
131,12071.8,2.29313,1.34716,0.95966,0.6385,0.2822,0.28088,0.11826,2.06662,1.27845,0.94888,0.0098713,0.0098713,0.0098713
132,12163.8,2.29649,1.3443,0.95865,0.64217,0.28354,0.28272,0.11866,2.06662,1.27804,0.94874,0.00987031,0.00987031,0.00987031
133,12256.4,2.29911,1.3475,0.95661,0.6365,0.28741,0.28282,0.11829,2.0665,1.27752,0.94876,0.00986932,0.00986932,0.00986932
134,12347.9,2.28019,1.34929,0.96277,0.63864,0.28663,0.28317,0.11874,2.0664,1.27694,0.94879,0.00986833,0.00986833,0.00986833
135,12439.9,2.28427,1.35082,0.95955,0.63878,0.28722,0.28334,0.11877,2.06523,1.27699,0.94873,0.00986734,0.00986734,0.00986734
136,12531.2,2.28237,1.34969,0.96062,0.63916,0.28664,0.28377,0.11905,2.06528,1.27623,0.94874,0.00986635,0.00986635,0.00986635
137,12622.8,2.28655,1.34014,0.96378,0.63989,0.28689,0.284,0.11911,2.06495,1.27605,0.94872,0.00986536,0.00986536,0.00986536
138,12715.2,2.28286,1.34862,0.95889,0.65579,0.28132,0.28439,0.1192,2.0652,1.27525,0.9487,0.00986437,0.00986437,0.00986437
139,12807.1,2.28897,1.33964,0.96098,0.65905,0.2798,0.28475,0.11928,2.06508,1.27466,0.94856,0.00986338,0.00986338,0.00986338
140,12899,2.28978,1.35703,0.959,0.66348,0.28086,0.28649,0.11981,2.0636,1.27343,0.94844,0.00986239,0.00986239,0.00986239
141,12990.2,2.27823,1.34868,0.95906,0.66207,0.27889,0.28645,0.11994,2.06221,1.27296,0.94825,0.0098614,0.0098614,0.0098614
142,13082.2,2.28632,1.34376,0.95889,0.65277,0.28135,0.28647,0.11988,2.062,1.27249,0.94823,0.00986041,0.00986041,0.00986041
143,13173.9,2.27046,1.33488,0.95641,0.6542,0.28525,0.28704,0.11982,2.06215,1.27227,0.94814,0.00985942,0.00985942,0.00985942
144,13265.9,2.28645,1.34015,0.96216,0.6587,0.28462,0.28735,0.12003,2.06105,1.27162,0.94803,0.00985843,0.00985843,0.00985843
145,13358.1,2.2916,1.34655,0.95829,0.64756,0.28809,0.28773,0.1201,2.06104,1.27076,0.94805,0.00985744,0.00985744,0.00985744
146,13450.6,2.2905,1.3407,0.95781,0.6379,0.28997,0.28901,0.12083,2.06078,1.26995,0.94795,0.00985645,0.00985645,0.00985645
147,13542.1,2.28822,1.34018,0.95935,0.65799,0.28527,0.28938,0.1211,2.0603,1.26978,0.94783,0.00985546,0.00985546,0.00985546
148,13634,2.27916,1.33694,0.95833,0.65933,0.28481,0.2901,0.12119,2.06084,1.26982,0.94784,0.00985447,0.00985447,0.00985447
149,13726.3,2.28413,1.34932,0.96053,0.65752,0.28516,0.29042,0.12134,2.06069,1.26921,0.9477,0.00985348,0.00985348,0.00985348
150,13818.7,2.284,1.33706,0.95821,0.64267,0.2916,0.29085,0.12174,2.05974,1.26833,0.94773,0.00985249,0.00985249,0.00985249
151,13911.1,2.27226,1.34289,0.95775,0.64222,0.29188,0.29106,0.12207,2.05905,1.26815,0.94755,0.0098515,0.0098515,0.0098515
152,14003.3,2.28848,1.34305,0.96056,0.64157,0.29287,0.29031,0.12209,2.05866,1.26783,0.94734,0.00985051,0.00985051,0.00985051
