epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4020.99,2.26113,1.32623,0.95595,0.63702,0.29202,0.28672,0.12534,2.03686,1.25224,0.94656,0.00994159,0.00994159,0.00994159
61,4086.67,2.26355,1.33846,0.95564,0.63222,0.29952,0.2875,0.12626,2.03434,1.24918,0.94612,0.0099406,0.0099406,0.0099406
62,4152.78,2.2622,1.32317,0.96007,0.65523,0.29213,0.28983,0.1269,2.03651,1.25043,0.9464,0.00993961,0.00993961,0.00993961
63,4219.25,2.26142,1.33122,0.95853,0.64456,0.29613,0.29293,0.12868,2.03295,1.24799,0.94539,0.00993862,0.00993862,0.00993862
64,4285.52,2.24869,1.31004,0.9579,0.64135,0.3012,0.29297,0.12944,2.03124,1.24614,0.94574,0.00993763,0.00993763,0.00993763
65,4351.55,2.25236,1.32261,0.95827,0.64129,0.30242,0.29634,0.12974,2.03002,1.24575,0.94563,0.00993664,0.00993664,0.00993664
66,4417.9,2.25988,1.31935,0.95882,0.63197,0.3077,0.29721,0.12931,2.02961,1.24307,0.94551,0.00993565,0.00993565,0.00993565
67,4484.4,2.26475,1.32908,0.95559,0.64138,0.3011,0.29443,0.12981,2.02808,1.24195,0.94464,0.00993466,0.00993466,0.00993466
68,4550.71,2.25866,1.30452,0.95518,0.64999,0.30292,0.29815,0.13077,2.02552,1.24156,0.94452,0.00993367,0.00993367,0.00993367
69,4617.75,2.26722,1.31509,0.95525,0.66401,0.30079,0.29967,0.13138,2.02332,1.23624,0.94423,0.00993268,0.00993268,0.00993268
70,4684.29,2.2411,1.30645,0.95631,0.66544,0.30404,0.30042,0.13037,2.02217,1.23475,0.94381,0.00993169,0.00993169,0.00993169
71,4750.72,2.25369,1.31954,0.95526,0.67746,0.29998,0.30011,0.13049,2.02173,1.23252,0.94368,0.0099307,0.0099307,0.0099307
72,4817.71,2.25701,1.31851,0.9567,0.68454,0.29863,0.3029,0.13108,2.02186,1.22952,0.94374,0.00992971,0.00992971,0.00992971
73,4884.5,2.25312,1.30907,0.9575,0.68631,0.29754,0.30284,0.13148,2.02068,1.22937,0.94332,0.00992872,0.00992872,0.00992872
74,4950.92,2.24481,1.30611,0.95631,0.69223,0.29767,0.30283,0.13296,2.01712,1.22958,0.94265,0.00992773,0.00992773,0.00992773
75,5017.85,2.2453,1.30068,0.95773,0.69947,0.29482,0.305,0.13365,2.01822,1.22869,0.94214,0.00992674,0.00992674,0.00992674
76,5084.33,2.24011,1.30578,0.95608,0.67843,0.29807,0.30645,0.13421,2.01774,1.22863,0.94213,0.00992575,0.00992575,0.00992575
77,5149.7,2.24587,1.30422,0.95376,0.67992,0.30124,0.31247,0.13462,2.01676,1.22821,0.94163,0.00992476,0.00992476,0.00992476
78,5215.94,2.25567,1.30761,0.95454,0.67493,0.30349,0.31258,0.13474,2.01592,1.22725,0.94133,0.00992377,0.00992377,0.00992377
79,5282.57,2.23039,1.2943,0.95563,0.67819,0.30521,0.31053,0.13414,2.01584,1.22624,0.94124,0.00992278,0.00992278,0.00992278
80,5348.58,2.23227,1.29055,0.95344,0.67247,0.30509,0.31173,0.13514,2.01451,1.22509,0.94133,0.00992179,0.00992179,0.00992179
81,5415.39,2.23592,1.29195,0.95139,0.67621,0.30671,0.31287,0.13472,2.0145,1.22432,0.94093,0.0099208,0.0099208,0.0099208
82,5481.47,2.23966,1.28879,0.9527,0.68432,0.31026,0.31698,0.13513,2.01309,1.22387,0.94075,0.00991981,0.00991981,0.00991981
83,5547.85,2.23755,1.30228,0.95448,0.6886,0.30675,0.31643,0.13557,2.01128,1.22178,0.94071,0.00991882,0.00991882,0.00991882
84,5614.55,2.22798,1.28958,0.95309,0.69929,0.30419,0.31741,0.13662,2.01037,1.22042,0.94036,0.00991783,0.00991783,0.00991783
85,5681.25,2.23211,1.28843,0.95043,0.69554,0.30602,0.31767,0.137,2.00918,1.21901,0.94033,0.00991684,0.00991684,0.00991684
86,5747.58,2.22323,1.28462,0.95597,0.7013,0.30661,0.3211,0.13773,2.00743,1.21685,0.94017,0.00991585,0.00991585,0.00991585
87,5813.39,2.2228,1.2747,0.95435,0.70092,0.30736,0.32114,0.13742,2.00671,1.21561,0.94011,0.00991486,0.00991486,0.00991486
88,5879.88,2.22107,1.28753,0.95287,0.69802,0.31045,0.32211,0.13831,2.00624,1.21443,0.94003,0.00991387,0.00991387,0.00991387
89,5945.93,2.21635,1.27701,0.95321,0.70363,0.31122,0.32181,0.13813,2.00575,1.21382,0.9398,0.00991288,0.00991288,0.00991288
90,6012.59,2.21831,1.26834,0.9481,0.6925,0.31353,0.32234,0.13774,2.00552,1.21312,0.93962,0.00991189,0.00991189,0.00991189
91,6078.9,2.22743,1.2786,0.952,0.68704,0.31513,0.32068,0.13821,2.00436,1.21193,0.93944,0.0099109,0.0099109,0.0099109
92,6145.61,2.21295,1.26604,0.95241,0.69076,0.31363,0.32206,0.13822,2.00438,1.21116,0.93931,0.00990991,0.00990991,0.00990991
93,6211.74,2.21517,1.26287,0.95626,0.68673,0.31311,0.31983,0.13823,2.00382,1.21006,0.93919,0.00990892,0.00990892,0.00990892
94,6277.59,2.21622,1.27917,0.9513,0.69087,0.31223,0.32201,0.13848,2.00351,1.20908,0.93913,0.00990793,0.00990793,0.00990793
95,6342.66,2.21395,1.28313,0.95179,0.69315,0.31572,0.32511,0.13898,2.00344,1.20795,0.93894,0.00990694,0.00990694,0.00990694
96,6409.2,2.22227,1.28297,0.95091,0.68971,0.31664,0.32488,0.13919,2.00288,1.20715,0.93889,0.00990595,0.00990595,0.00990595
97,6475.69,2.20559,1.25868,0.94781,0.69187,0.31885,0.32704,0.13988,2.00216,1.2062,0.93869,0.00990496,0.00990496,0.00990496
